"n_r","variant","rho","gamma","kappa","treated_nuisance","calibration","scenario","n_o","setting"
200,"nonprognostic",0,1,0,"dictionary","intercept",1,2000,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
500,"nonprognostic",0,1,0,"dictionary","intercept",1,2000,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
200,"nonprognostic",0,1,0,"dictionary","ridge",1,2000,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
500,"nonprognostic",0,1,0,"dictionary","ridge",1,2000,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
200,"nonprognostic",0,1,0,"dictionary","lasso",1,2000,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
500,"nonprognostic",0,1,0,"dictionary","lasso",1,2000,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
200,"nonprognostic",0,1,0,"dictionary","intercept",2,2000,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
500,"nonprognostic",0,1,0,"dictionary","intercept",2,2000,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
200,"nonprognostic",0,1,0,"dictionary","ridge",2,2000,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
500,"nonprognostic",0,1,0,"dictionary","ridge",2,2000,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
200,"nonprognostic",0,1,0,"dictionary","lasso",2,2000,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
500,"nonprognostic",0,1,0,"dictionary","lasso",2,2000,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
200,"nonprognostic",0,1,0,"dictionary","intercept",3,2000,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
500,"nonprognostic",0,1,0,"dictionary","intercept",3,2000,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
200,"reversed",0,1,0,"dictionary","intercept",3,2000,"s3_n200_reversed_rho0_g1_k0_dictionary_intercept"
500,"reversed",0,1,0,"dictionary","intercept",3,2000,"s3_n500_reversed_rho0_g1_k0_dictionary_intercept"
200,"nonprognostic",0,1,0,"dictionary","ridge",3,2000,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
500,"nonprognostic",0,1,0,"dictionary","ridge",3,2000,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
200,"reversed",0,1,0,"dictionary","ridge",3,2000,"s3_n200_reversed_rho0_g1_k0_dictionary_ridge"
500,"reversed",0,1,0,"dictionary","ridge",3,2000,"s3_n500_reversed_rho0_g1_k0_dictionary_ridge"
200,"nonprognostic",0,1,0,"dictionary","lasso",3,2000,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
500,"nonprognostic",0,1,0,"dictionary","lasso",3,2000,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
200,"reversed",0,1,0,"dictionary","lasso",3,2000,"s3_n200_reversed_rho0_g1_k0_dictionary_lasso"
500,"reversed",0,1,0,"dictionary","lasso",3,2000,"s3_n500_reversed_rho0_g1_k0_dictionary_lasso"
200,"nonprognostic",0,1,0,"dictionary","intercept",4,2000,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
500,"nonprognostic",0,1,0,"dictionary","intercept",4,2000,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
200,"nonprognostic",0.8,1,0,"dictionary","intercept",4,2000,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
500,"nonprognostic",0.8,1,0,"dictionary","intercept",4,2000,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
200,"nonprognostic",0,1,0,"dictionary","ridge",4,2000,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
500,"nonprognostic",0,1,0,"dictionary","ridge",4,2000,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
200,"nonprognostic",0.8,1,0,"dictionary","ridge",4,2000,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
500,"nonprognostic",0.8,1,0,"dictionary","ridge",4,2000,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
200,"nonprognostic",0,1,0,"dictionary","lasso",4,2000,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
500,"nonprognostic",0,1,0,"dictionary","lasso",4,2000,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
200,"nonprognostic",0.8,1,0,"dictionary","lasso",4,2000,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
500,"nonprognostic",0.8,1,0,"dictionary","lasso",4,2000,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
200,"nonprognostic",0,0,0,"linear","intercept",5,2000,"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept"
