"scenario","n_r","calibration","method","attempted","successful","rmse","rmse_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_difference","ise_difference_mcse","ise_increase_frequency"
1,200,"intercept","A",200,200,0.24946130338045,0.00844170159131097,0.828504403492297,0.0209680896528881,-0.0284292705061843,0.00408798837509074,0.295
1,200,"intercept","racer",200,200,0.301098343387102,0.0095450910583367,1,0,0,0,0
1,200,"lasso","A",200,200,0.250201502811349,0.00857694590850804,0.830962734622827,0.0200831118033826,-0.0280594203813995,0.00390250536202542,0.3
1,200,"lasso","racer",200,200,0.301098343387102,0.0095450910583367,1,0,0,0,0
1,200,"ridge","A",200,200,0.250384028073748,0.00845502569098515,0.831568932785015,0.0197037382127282,-0.0279680508760215,0.00386771168011151,0.285
1,200,"ridge","racer",200,200,0.301098343387102,0.0095450910583367,1,0,0,0,0
1,500,"intercept","A",200,200,0.149395124540856,0.00463433125673753,0.941355752937332,0.0144195966537764,-0.00286744983578507,0.000756744699533473,0.425
1,500,"intercept","racer",200,200,0.158702089061118,0.00504050319811686,1,0,0,0,0
1,500,"lasso","A",200,200,0.149292731849573,0.00467447394950465,0.940710564887896,0.0137582985144645,-0.0028980332892544,0.000722169960528384,0.435
1,500,"lasso","racer",200,200,0.158702089061118,0.00504050319811686,1,0,0,0,0
1,500,"ridge","A",200,200,0.149555443817286,0.00464876241534731,0.94236594301976,0.013297523236752,-0.00281952229697753,0.000701058656690812,0.435
1,500,"ridge","racer",200,200,0.158702089061118,0.00504050319811686,1,0,0,0,0
6,250,"intercept","A",200,200,0.301738108738139,0.00834492423180508,0.84059213581936,0.0339194002556133,-0.0378056742189979,0.00916467562980939,0.405
6,250,"intercept","racer",200,200,0.358958995546659,0.0109447639348578,1,0,0,0,0
6,250,"lasso","A",200,200,0.247481273907913,0.0072646265651496,0.689441626977541,0.0259513996923787,-0.0676045795487833,0.00792765086052745,0.285
6,250,"lasso","racer",200,200,0.358958995546659,0.0109447639348578,1,0,0,0,0
6,250,"ridge","A",200,200,0.287192987747874,0.0079687776220812,0.800071850297294,0.0311374539556529,-0.0463717482723163,0.00865034648048361,0.395
6,250,"ridge","racer",200,200,0.358958995546659,0.0109447639348578,1,0,0,0,0
